boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,High (RCP 8.5),,,,,,,,,,,,
climate indicator,Precipitation,,,,,,,,,,,,
units,inch,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP8.5RangeMin,ModeledRCP8.5RangeMax,Observed,ACCESS1-0,CanESM2  ,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5  ,GFDL-CM3,HadGEM2-CC,HadGEM2-ES  ,MIROC5  
2069,4.117660995,18.09671573,,8.415528075,12.19817331,12.05952145,8.660582213,10.82540736,11.10969973,6.556458683,8.585047908,8.183246382,4.550826241
2070,4.636942042,22.41610719,,5.309139073,12.57005144,14.50982803,9.933149165,10.61720994,19.46492874,10.48456434,9.273118496,5.738633258,10.71855394
2071,5.819557847,22.63998136,,8.921475745,22.49028475,11.10469507,14.77977834,7.55983923,9.94266048,11.46817192,10.68696779,12.40917116,16.80525375
2072,5.820190889,21.48625136,,11.31951284,15.11190495,12.64431067,11.44075158,11.63134487,12.98167153,10.33093337,9.385835943,10.65364907,12.86757418
2073,6.083151868,23.63644045,,7.698374797,11.28522808,10.6050642,11.95383001,9.842347421,15.09520065,7.07211809,23.19089178,11.10761069,10.84705989
2074,4.864914399,18.92675238,,6.951788175,12.43743971,11.32559832,9.782660979,11.29898406,13.79970969,15.49487532,10.41992291,8.701695484,9.098574256
2075,4.661674479,21.33809006,,11.8473786,12.7284068,8.637544143,13.23180699,15.49434121,13.34858611,7.392613932,11.27715877,8.693436483,8.116382105
2076,4.623122156,21.85873959,,10.66748124,12.85517209,14.67045965,8.414012833,13.04902073,12.60317194,16.06478409,11.57907788,19.83522433,15.28157103
2077,5.297031731,20.02241336,,7.596341967,14.43304988,14.15872391,12.76666884,17.52026948,13.61755742,10.40849421,9.081536202,12.96517653,8.795390254
2078,4.298468928,22.00254215,,5.738615191,17.88816375,11.73537937,8.072569476,9.20946454,11.88854155,8.86524859,5.040705298,11.93508857,5.146257275
