"","year","model","temp","scenario"
"208",1975,"CNRM.CM5",63.38172913,"hist"
"209",1976,"CNRM.CM5",63.86051559,"hist"
"210",1977,"CNRM.CM5",63.62150574,"hist"
"211",1978,"CNRM.CM5",64.38824463,"hist"
"212",1979,"CNRM.CM5",63.30169678,"hist"
"213",1980,"CNRM.CM5",66.17500305,"hist"
"214",1981,"CNRM.CM5",63.40738678,"hist"
"215",1982,"CNRM.CM5",63.21380615,"hist"
"216",1983,"CNRM.CM5",63.25357819,"hist"
"217",1984,"CNRM.CM5",65.09059906,"hist"
"218",1985,"CNRM.CM5",62.42921448,"hist"
"219",1986,"CNRM.CM5",65.47457123,"hist"
"220",1987,"CNRM.CM5",64.18774414,"hist"
"221",1988,"CNRM.CM5",64.71228027,"hist"
"222",1989,"CNRM.CM5",64.09161377,"hist"
"223",1990,"CNRM.CM5",66.25734711,"hist"
"224",1991,"CNRM.CM5",65.31060028,"hist"
"225",1960,"GFDL.CM3",62.24332809,"hist"
"226",1961,"GFDL.CM3",64.2711792,"hist"
"227",1962,"GFDL.CM3",62.69777679,"hist"
"228",1963,"GFDL.CM3",62.25469971,"hist"
"229",1964,"GFDL.CM3",65.52323914,"hist"
"230",1965,"GFDL.CM3",60.98638153,"hist"
"231",1966,"GFDL.CM3",65.48313904,"hist"
"232",1967,"GFDL.CM3",60.46914673,"hist"
"233",1968,"GFDL.CM3",64.10814667,"hist"
"234",1969,"GFDL.CM3",61.00802612,"hist"
"235",1970,"GFDL.CM3",61.92384338,"hist"
"236",1971,"GFDL.CM3",64.11386108,"hist"
"237",1972,"GFDL.CM3",64.04382324,"hist"
"238",1973,"GFDL.CM3",65.45611572,"hist"
"239",1974,"GFDL.CM3",63.94532776,"hist"
"240",1975,"GFDL.CM3",62.21113586,"hist"
"241",1976,"GFDL.CM3",65.31394959,"hist"
"242",1977,"GFDL.CM3",64.21663666,"hist"
"243",1978,"GFDL.CM3",63.10696411,"hist"
"244",1979,"GFDL.CM3",64.34451294,"hist"
"245",1980,"GFDL.CM3",63.10350037,"hist"
"246",1981,"GFDL.CM3",64.88691711,"hist"
"247",1982,"GFDL.CM3",62.63163757,"hist"
"248",1983,"GFDL.CM3",61.92236328,"hist"
"249",1984,"GFDL.CM3",63.73466492,"hist"
"250",1985,"GFDL.CM3",64.29283142,"hist"
"251",1986,"GFDL.CM3",65.30828857,"hist"
"252",1987,"GFDL.CM3",63.18348312,"hist"
"253",1988,"GFDL.CM3",65.84096527,"hist"
"254",1989,"GFDL.CM3",63.37360382,"hist"
"255",1990,"GFDL.CM3",64.89021301,"hist"
"256",1991,"GFDL.CM3",65.40261078,"hist"
"257",1960,"HadGEM2.CC",62.83103943,"hist"
"258",1961,"HadGEM2.CC",61.8007431,"hist"
"259",1962,"HadGEM2.CC",64.10919189,"hist"
"260",1963,"HadGEM2.CC",62.02481079,"hist"
"261",1964,"HadGEM2.CC",63.59975433,"hist"
"262",1965,"HadGEM2.CC",61.15584564,"hist"
"263",1966,"HadGEM2.CC",63.00050354,"hist"
"264",1967,"HadGEM2.CC",61.0140152,"hist"
"265",1968,"HadGEM2.CC",63.01847076,"hist"
"266",1969,"HadGEM2.CC",64.10775757,"hist"
"267",1970,"HadGEM2.CC",64.58204651,"hist"
"268",1971,"HadGEM2.CC",62.1055603,"hist"
"269",1972,"HadGEM2.CC",63.41024017,"hist"
"270",1973,"HadGEM2.CC",63.61513519,"hist"
"271",1974,"HadGEM2.CC",65.72566223,"hist"
"272",1975,"HadGEM2.CC",61.83974457,"hist"
"273",1976,"HadGEM2.CC",67.08786011,"hist"
"274",1977,"HadGEM2.CC",63.15700531,"hist"
"275",1978,"HadGEM2.CC",65.55351257,"hist"
"276",1979,"HadGEM2.CC",64.60577393,"hist"
"277",1980,"HadGEM2.CC",63.42820358,"hist"
"278",1981,"HadGEM2.CC",64.77166748,"hist"
