boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,Medium (RCP 4.5),,,,,,,,,,,,
climate indicator,Minimum Temperature,,,,,,,,,,,,
units,°F,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP4.5RangeMin,ModeledRCP4.5RangeMax,Observed,ACCESS1-0,CanESM2,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5,GFDL-CM3,HadGEM2-CC,HadGEM2-ES,MIROC5 
2001,31.41173744,36.65188599,34.03362656,33.95062256,32.26312256,35.1966362,34.27422333,35.17274094,33.13043976,33.28891754,32.97014618,33.60345459,32.4903183
2002,31.4549675,36.48516846,32.72179413,35.72046661,33.96336746,35.17724609,33.14559937,32.07674026,34.59672928,35.5873642,34.65544891,34.38991165,33.18410492
2003,30.7386055,36.51461029,35.2698288,33.68112946,35.09869385,32.9508667,33.66261673,34.96169281,31.56164551,34.33766937,31.94633102,32.41907501,31.80867386
2004,31.37070274,37.68927002,34.1353302,35.68783569,34.96575928,35.58956146,35.34616089,35.92349243,32.92878342,31.88986206,32.74272919,32.41770172,34.83787918
2005,31.51610756,37.31518555,34.08055878,34.95367432,33.9149704,32.34233475,36.09262848,32.55222702,36.96768951,33.83460617,32.71949387,33.8181839,34.36667633
2006,30.70564651,37.42812347,33.46763229,35.40251923,34.13178635,31.18530846,36.57064056,35.22503662,35.70470047,36.056427,34.89929199,32.2208252,33.14136887
2007,31.1638298,37.02108002,,34.63776398,33.69063187,35.17098236,35.69514084,34.68675995,36.03351974,34.53828049,35.2093811,34.16875458,33.7544632
2008,30.45021439,36.95626068,,34.05751801,36.41529465,35.05722046,35.83175659,33.19322586,36.41078949,35.11061478,31.35043335,35.43734741,34.54075241
2009,31.97791672,38.32521439,,33.49633789,36.80855179,35.31583786,34.00956345,33.06924438,35.80181885,33.94529343,32.88093948,34.79393387,36.23270416
2010,31.45414352,37.96892548,,34.95713425,35.39510345,34.13447952,35.6661911,32.08778,35.58472824,35.37560272,35.55127716,34.62320709,37.33880615
