"","year","model","precip","scenario","precipcm"
"172",1971,"CMCC.CMS",11.17385895,"hist",28.381601733
"173",1972,"CMCC.CMS",10.06769175,"hist",25.571937045
"174",1973,"CMCC.CMS",5.33718122,"hist",13.5564402988
"175",1974,"CMCC.CMS",9.457802985,"hist",24.0228195819
"176",1975,"CMCC.CMS",13.3264435,"hist",33.84916649
"177",1976,"CMCC.CMS",11.57047468,"hist",29.3890056872
"178",1977,"CMCC.CMS",11.75209162,"hist",29.8503127148
"179",1978,"CMCC.CMS",7.835091168,"hist",19.90113156672
"180",1979,"CMCC.CMS",10.95416509,"hist",27.8235793286
"181",1980,"CMCC.CMS",8.986333877,"hist",22.82528804758
"182",1981,"CMCC.CMS",11.70709727,"hist",29.7360270658
"183",1982,"CMCC.CMS",7.5751078,"hist",19.240773812
"184",1983,"CMCC.CMS",10.71298809,"hist",27.2109897486
"185",1984,"CMCC.CMS",14.35606408,"hist",36.4644027632
"186",1985,"CMCC.CMS",10.02621384,"hist",25.4665831536
"187",1986,"CMCC.CMS",7.926444536,"hist",20.13316912144
"188",1987,"CMCC.CMS",9.028759939,"hist",22.93305024506
"189",1988,"CMCC.CMS",12.55891258,"hist",31.8996379532
"190",1989,"CMCC.CMS",12.3298986,"hist",31.317942444
"191",1990,"CMCC.CMS",7.421043964,"hist",18.84945166856
"192",1991,"CMCC.CMS",11.2280462,"hist",28.519237348
"193",1960,"CNRM.CM5",9.035707826,"hist",22.95069787804
"194",1961,"CNRM.CM5",10.04478814,"hist",25.5137618756
"195",1962,"CNRM.CM5",8.471398953,"hist",21.51735334062
"196",1963,"CNRM.CM5",14.77765769,"hist",37.5352505326
"197",1964,"CNRM.CM5",10.54598659,"hist",26.7868059386
"198",1965,"CNRM.CM5",11.67711913,"hist",29.6598825902
"199",1966,"CNRM.CM5",11.09208749,"hist",28.1739022246
"200",1967,"CNRM.CM5",8.06534368,"hist",20.4859729472
"201",1968,"CNRM.CM5",11.24444474,"hist",28.5608896396
"202",1969,"CNRM.CM5",10.03148947,"hist",25.4799832538
"203",1970,"CNRM.CM5",13.46010201,"hist",34.1886591054
"204",1971,"CNRM.CM5",9.757761992,"hist",24.78471545968
"205",1972,"CNRM.CM5",11.99185901,"hist",30.4593218854
"206",1973,"CNRM.CM5",10.51491741,"hist",26.7078902214
"207",1974,"CNRM.CM5",12.89729431,"hist",32.7591275474
"208",1975,"CNRM.CM5",12.74430489,"hist",32.3705344206
"209",1976,"CNRM.CM5",11.2331387,"hist",28.532172298
"210",1977,"CNRM.CM5",9.47916983,"hist",24.0770913682
"211",1978,"CNRM.CM5",10.82046369,"hist",27.4839777726
"212",1979,"CNRM.CM5",8.817470747,"hist",22.39637569738
"213",1980,"CNRM.CM5",9.105451834,"hist",23.12784765836
"214",1981,"CNRM.CM5",11.1156224,"hist",28.233680896
"215",1982,"CNRM.CM5",13.96168417,"hist",35.4626777918
"216",1983,"CNRM.CM5",10.15111986,"hist",25.7838444444
"217",1984,"CNRM.CM5",8.367555684,"hist",21.25359143736
"218",1985,"CNRM.CM5",14.78664166,"hist",37.5580698164
"219",1986,"CNRM.CM5",9.163753729,"hist",23.27593447166
"220",1987,"CNRM.CM5",10.88131098,"hist",27.6385298892
"221",1988,"CNRM.CM5",9.36383367,"hist",23.7841375218
"222",1989,"CNRM.CM5",10.46972205,"hist",26.593094007
"223",1990,"CNRM.CM5",7.944423743,"hist",20.17883630722
"224",1991,"CNRM.CM5",9.86289787,"hist",25.0517605898
"225",1960,"GFDL.CM3",14.36060801,"hist",36.4759443454
"226",1961,"GFDL.CM3",12.49372498,"hist",31.7340614492
"227",1962,"GFDL.CM3",14.98495736,"hist",38.0617916944
"228",1963,"GFDL.CM3",6.577969483,"hist",16.70804248682
